date,mr.a,mr.b,mr.c,mr.d
08-25_10-00-00,12.4,4.6,11.7,8.2
08-26_11-00-00,14.3,4.9,13.7,9.3
08-27_12-00-00,16.1,4.9,14.5,6.7
08-28_13-00-00,15.3,3.6,11.3,2.5
08-31_14-00-00,15.0,4.4,11.4,4.9
09-01_15-00-00,18.1,5.5,13.8,1.8
09-02_16-00-00,18.5,5.2,13.2,3.7
09-03_17-00-00,21.0,5.5,13.4,2.9
09-04_18-00-00,24.2,6.1,13.9,9.7
09-07_19-00-00,28.5,7.2,15.2,6.9
09-08_10-00-00,92.59,7.2,15.2,6.9
09-09_11-00-00,92.59,7.2,15.2,66.67
09-10_12-00-00,92.59,7.2,15.2,74.07
09-11_13-00-00,92.59,7.2,15.2,62.96
09-14_14-00-00,92.59,7.2,77.78,62.96
09-15_15-00-00,81.48,7.2,77.78,62.96
09-16_16-00-00,81.48,7.2,77.78,66.67
09-17_17-00-00,81.48,7.2,77.78,74.07
09-18_10-00-00,59.26,7.2,77.78,74.07
09-23_11-00-00,59.26,7.2,77.78,85.19
09-29_15-39-44,59.26,7.2,77.78,85.19
