date,mr.a,mr.b,mr.c,mr.d
08-25_10-00-00,42.4,14.6,1.7,54.5
08-26_11-00-00,54.3,24.9,3.7,56.3
08-27_12-00-00,26.1,34.9,4.5,34.2
08-28_13-00-00,65.3,43.6,11.3,76.1
08-31_14-00-00,75.0,54.4,21.4,5.9
09-01_15-00-00,18.1,65.5,33.8,12.6
09-02_16-00-00,48.5,75.2,13.2,47.3
09-03_17-00-00,21.0,85.5,63.4,63.6
09-04_18-00-00,74.2,96.1,76.9,35.9
09-07_19-00-00,88.5,97.2,85.2,46.2
09-08_10-00-00,83.33,97.2,85.2,46.2
09-09_11-00-00,83.33,97.2,85.2,33.33
09-10_12-00-00,83.33,97.2,85.2,42.86
09-11_13-00-00,83.33,97.2,85.2,30.0
09-14_14-00-00,83.33,97.2,50.0,30.0
09-15_15-00-00,57.14,97.2,50.0,30.0
09-16_16-00-00,57.14,97.2,50.0,33.33
09-17_17-00-00,57.14,97.2,50.0,42.86
09-18_10-00-00,30.77,97.2,50.0,42.86
09-23_11-00-00,30.77,97.2,50.0,75.0
09-29_15-41-37,30.77,97.2,50.0,75.0
