date,mr.a,mr.b,mr.c,mr.d
08-25_10-00-00,1.0,4.0,2.0,3.0
08-26_11-00-00,1.0,4.0,2.0,3.0
08-27_12-00-00,1.0,4.0,2.0,3.0
08-28_13-00-00,1.0,3.0,2.0,4.0
08-31_14-00-00,1.0,4.0,2.0,3.0
09-01_15-00-00,1.0,3.0,2.0,4.0
09-02_16-00-00,1.0,3.0,2.0,4.0
09-03_17-00-00,1.0,3.0,2.0,4.0
09-04_18-00-00,1.0,4.0,2.0,3.0
09-07_19-00-00,1.0,3.0,2.0,4.0
09-08_10-00-00,1.0,3.0,2.0,4.0
09-09_11-00-00,1.0,4.0,3.0,2.0
09-10_12-00-00,1.0,4.0,3.0,2.0
09-11_13-00-00,1.0,4.0,3.0,2.0
09-14_14-00-00,1.0,4.0,2.0,3.0
09-15_15-00-00,1.0,4.0,2.0,3.0
09-16_16-00-00,1.0,4.0,2.0,3.0
09-17_17-00-00,1.0,4.0,2.0,3.0
09-18_10-00-00,3.0,4.0,1.0,2.0
09-23_11-00-00,3.0,4.0,2.0,1.0
09-29_15-39-44,3.0,4.0,2.0,1.0
