date,mr.a,mr.b,mr.c,mr.d
08-25_10-00-00,32.4,84.6,11.7,8.2
08-26_11-00-00,14.3,74.9,43.7,9.3
08-27_12-00-00,66.1,64.9,24.5,6.7
08-28_13-00-00,15.3,53.6,11.3,2.5
08-31_14-00-00,85.0,34.4,61.4,4.9
09-01_15-00-00,18.1,75.5,73.8,1.8
09-02_16-00-00,78.5,45.2,83.2,3.7
09-03_17-00-00,21.0,85.5,13.4,2.9
09-04_18-00-00,24.2,96.1,83.9,9.7
09-07_19-00-00,28.5,87.2,85.2,8.2
09-08_10-00-00,83.0,87.2,85.2,8.2
09-09_11-00-00,83.0,87.2,85.2,50.0
09-10_12-00-00,83.0,87.2,85.2,50.0
09-11_13-00-00,83.0,87.2,85.2,50.0
09-14_14-00-00,83.0,87.2,66.0,50.0
09-15_15-00-00,66.0,87.2,66.0,50.0
09-16_16-00-00,66.0,87.2,66.0,50.0
09-17_17-00-00,66.0,87.2,66.0,50.0
09-18_10-00-00,66.0,87.2,66.0,50.0
09-23_11-00-00,66.0,87.2,66.0,50.0
09-29_15-41-37,66.0,87.2,66.0,50.0
